"","outputs"
"1",0
"2",0
"3",0
"4",47.74
"5",68.63
"6",677.42
"7",23.39
"8",550.73
"9",0
"10",20.41
"11",210.17
"12",31.55
"13",182.61
"14",0
"15",0
"16",0
"17",80.99
"18",0
"19",201.04
"20",280.78
"21",26.14
"22",0
"23",0
"24",64.02
"25",124.78
"26",56.77
"27",376.14
"28",282.77
"29",0
"30",0
"31",43.21
"32",275.2
"33",130.83
"34",0
"35",64.34
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",14.7
"43",0
"44",0
"45",0
"46",117.14
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",71.78
"59",0
"60",308.65
"61",0
"62",210.39
"63",0
"64",89.41
"65",115.13
"66",0
"67",6.38
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",514.8
"75",0
"76",0
"77",230.76
"78",0
"79",0
"80",6.97
"81",0
"82",136.95
"83",0
"84",0
"85",174.88
"86",0
"87",0
"88",0
"89",6.43
"90",212.85
"91",0
"92",0
"93",0
"94",195.14
"95",235.52
"96",0
"97",138.2
"98",0
"99",8.92
"100",0
"101",23.02
"102",0
"103",177.48
"104",0
"105",0
"106",78.45
"107",465.36
"108",0
"109",0
"110",55.57
"111",0
"112",0
"113",7.17
"114",0
"115",0
"116",0
"117",0
"118",0
"119",575.19
"120",0
"121",0
"122",84.14
"123",19.07
"124",0
"125",0
"126",0
"127",134.99
"128",0
"129",557.14
"130",143.71
"131",0
"132",76.42
"133",0
"134",0
"135",59.88
"136",44.38
"137",0
"138",0
"139",0
"140",0
"141",50.97
"142",86.07
"143",249.38
"144",0
"145",0
"146",0
"147",579.01
"148",85.41
"149",1.29
"150",0
"151",213.63
"152",109.57
"153",0
"154",0
"155",0
"156",143.62
"157",0
"158",0
"159",368.27
"160",0
"161",0
"162",157.68
"163",220.75
"164",0
"165",0
"166",341.51
"167",0
"168",0
"169",5
"170",0
"171",296.63
"172",0
"173",166.86
"174",0
"175",0
"176",128.96
"177",84.36
"178",0
"179",0
"180",0
"181",0
"182",839.36
"183",0
"184",350.73
"185",740.78
"186",0
"187",0
"188",0
"189",0
"190",27.82
"191",0
"192",0
